#,Stack,Input,Action
22,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9,"id = verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s29
23,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29,"= verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s62
24,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62,"verdadeiro ; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s50
25,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 50,"; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r82 (<constante_explicita> → verdadeiro)
26,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 110,"; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
27,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108,"; const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s137
28,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137,"const caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s4
29,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4,"caracter id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s13
30,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 13,"id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r29 (<tipo_pre_def> → caracter)
31,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9,"id = literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s29
32,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29,"= literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s62
33,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62,"literal ; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s51
34,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 51,"; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r83 (<constante_explicita> → literal)
35,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 110,"; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r21 (<constante> → <constante_explicita>)
36,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108,"; var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s137
37,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r4 (<dcl_const> → )
38,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 157,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r3 (<dcl_const> → const <tipo_pre_def> id = <constante> ; <dcl_const>)
39,0 4 9 29 62 108 137 4 9 29 62 108 137 4 9 29 62 108 137 157,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r3 (<dcl_const> → const <tipo_pre_def> id = <constante> ; <dcl_const>)
40,0 4 9 29 62 108 137 4 9 29 62 108 137 157,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r3 (<dcl_const> → const <tipo_pre_def> id = <constante> ; <dcl_const>)
41,0 4 9 29 62 108 137 157,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r3 (<dcl_const> → const <tipo_pre_def> id = <constante> ; <dcl_const>)
42,0 3,"var id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s8
43,0 3 8,"id , id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
44,0 3 8 28,", id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s61
45,0 3 8 28 61,"id , id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s107
46,0 3 8 28 61 107,", id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s61
47,0 3 8 28 61 107 61,"id : inteiro ; var id : cadeia [ num_int ] ; var id : vetor [ num_int ] de real ; proc id ( val id , id : inteiro ) ; var id : inteiro ; inicio id := id + id ; escreva ( id ) fim ; funcao id ( val id , id : inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s107
